reference,token,trailer,Part of Speech,Person,Number,Tense,Mood,Voice,Gender,Case,Degree
0.1,Διδαχὴ, ,Noun,,Singular,,,,Feminine,Nominative,
0.1,κυρίου, ,Noun,,Singular,,,,Masculine,Genitive,
0.1,διὰ, ,Adposition,,,,,,,,
0.1,τῶν, ,Article,,Plural,,,,Neuter,Genitive,
0.1,δώδεκα, ,Adjective,,,,,,,,
0.1,ἀποστόλων, ,Noun,,Plural,,,,Neuter,Genitive,
0.1,τοῖς, ,Article,,Plural,,,,Neuter,Dative,
0.1,ἔθνεσιν,. ,Noun,,Plural,,,,Neuter,Dative,
0.1,Ὁδοὶ, ,Noun,,Plural,,,,Feminine,Nominative,
1.1,δύο, ,Adjective,,,,,,,,
1.1,εἰσί,", ",Verb,Third,Plural,Present,Indicative,Active,,,
1.1,μία, ,Adjective,,Singular,,,,Feminine,Nominative,
1.1,τῆς, ,Article,,Singular,,,,Feminine,Genitive,
1.1,ζωῆς, ,Noun,,Singular,,,,Feminine,Genitive,
1.1,καὶ, ,Conjunction,,,,,,,,
1.1,μία, ,Adjective,,Singular,,,,Feminine,Nominative,
1.1,τοῦ, ,Article,,Singular,,,,Masculine,Genitive,
1.1,θανάτου,", ",Noun,,Singular,,,,Masculine,Genitive,
1.1,διαφορὰ, ,Noun,,Singular,,,,Feminine,Nominative,
1.1,δὲ, ,Conjunction,,,,,,,,
1.1,πολλὴ, ,Adjective,,Singular,,,,Feminine,Nominative,
1.1,μεταξὺ, ,Adposition,,,,,,,,
1.1,τῶν, ,Article,,Plural,,,,Feminine,Genitive,
1.1,δύο, ,Adjective,,,,,,,,
1.1,ὁδῶν,. ,Noun,,Plural,,,,Feminine,Genitive,
1.1,Ἡ, ,Article,,Singular,,,,Feminine,Nominative,
1.1,μὲν, ,Adverb,,,,,,,,
1.2,οὖν, ,Adverb,,,,,,,,
1.2,ὁδὸς, ,Noun,,Singular,,,,Feminine,Nominative,
1.2,τῆς, ,Article,,Singular,,,,Feminine,Genitive,
1.2,ζωῆς, ,Noun,,Singular,,,,Feminine,Genitive,
1.2,ἐστιν, ,Verb,Third,Singular,Present,Indicative,Active,,,
1.2,αὕτη,· ,Pronoun,,Singular,,,,Feminine,Nominative,
1.2,πρῶτον, ,Adjective,,Singular,,,,Neuter,Accusative,
1.2,ἀγαπήσεις, ,Noun,Second,Singular,,Indicative,,Feminine,Nominative,
