reference,token,trailer,Part of Speech,Person,Number,Tense,Mood,Voice,Gender,Case,Degree
1.1,Ἀδελφοί,", ",Noun,,Plural,,,,Masculine,Vocative,
1.1,οὕτως, ,Adverb,,,,,,,,
1.1,δεῖ, ,Verb,Third,Singular,Present,indicative,Active,,,
1.1,ἡμᾶς, ,Pronoun,First,Plural,,,,Masculine,Accusative,
1.1,φρονεῖν, ,Verb,,,Present,infinitive,Active,,,
1.1,περὶ, ,Adposition,,,,,,,,
1.1,Ἰησοῦ, ,Noun,,Singular,,,,Masculine,Genitive,
1.1,Χριστοῦ,", ",Noun,,Singular,,,,Masculine,Genitive,
1.1,ὡς, ,Conjunction,,,,,,,,
1.1,περὶ, ,Adposition,,,,,,,,
1.1,θεοῦ,", ",Noun,,Singular,,,,Masculine,Genitive,
1.1,ὡς, ,Conjunction,,,,,,,,
1.1,περὶ, ,Adposition,,,,,,,,
1.1,κριτοῦ, ,Adjective,,Singular,,,,Masculine,Genitive,
1.1,ζώντων, ,Verb,,Plural,Present,participle,Active,Masculine,Genitive,
1.1,καὶ, ,Conjunction,,,,,,,,
1.1,νεκρῶν,· ,Noun,,Plural,,,,Masculine,Genitive,
1.1,καὶ, ,Adverb,,,,,,,,
1.1,οὐ, ,Adverb,,,,,,,,
1.1,δεῖ, ,Verb,Third,Singular,Present,indicative,Active,,,
1.1,ἡμᾶς, ,Pronoun,First,Plural,,,,Masculine,Accusative,
1.1,μικρὰ, ,Adjective,,Plural,,,,Neuter,Accusative,
1.1,φρονεῖν, ,Verb,,,Present,infinitive,Active,,,
1.1,περὶ, ,Adposition,,,,,,,,
1.1,τῆς, ,Article,,Singular,,,,Feminine,Genitive,
1.1,σωτηρίας, ,Noun,,Singular,,,,Feminine,Genitive,
1.1,ἡμῶν,. ,Pronoun,First,Plural,,,,Masculine,Genitive,
1.1,ἐν, ,Adposition,,,,,,,,
1.2,τῷ, ,Article,,Singular,,,,Neuter,Dative,
1.2,γὰρ, ,Adverb,,,,,,,,
1.2,φρονεῖν, ,Verb,,,Present,infinitive,Active,,,
1.2,ἡμᾶς, ,Pronoun,First,Plural,,,,Masculine,Accusative,
1.2,μικρὰ, ,Adjective,,Plural,,,,Neuter,Accusative,
1.2,περὶ, ,Adposition,,,,,,,,
1.2,αὐτοῦ,", ",Pronoun,,Singular,,,,Masculine,Genitive,
1.2,μικρὰ, ,Adjective,,Plural,,,,Neuter,Accusative,
1.2,καὶ, ,Conjunction,,,,,,,,
1.2,ἐλπίζομεν, ,Verb,First,Plural,Present,indicative,Active,,,
1.2,λαβεῖν,· ,Verb,,,Aorist,infinitive,Active,,,
1.2,καὶ, ,Adverb,,,,,,,,
1.2,οἱ, ,Article,,Plural,,,,Masculine,Nominative,
1.2,ἀκούοντες, ,Verb,,Plural,Present,participle,Active,Masculine,Nominative,
1.2,ὡς, ,Conjunction,,,,,,,,
1.2,περὶ, ,Adposition,,,,,,,,
1.2,μικρῶν, ,Adjective,,Plural,,,,Neuter,Genitive,
1.2,ἁμαρτάνουσιν,", ",Verb,Third,Plural,Present,indicative,Active,,,
1.2,καὶ, ,Conjunction,,,,,,,,
1.2,ἡμεῖς, ,Pronoun,First,Plural,,,,Masculine,Nominative,
1.2,ἁμαρτάνομεν, ,Verb,First,Plural,Present,indicative,Active,,,
1.2,οὐκ, ,Adverb,,,,,,,,
1.2,εἰδότες,", ",Verb,,Plural,Perfect,participle,Active,Masculine,Nominative,
1.2,πόθεν, ,Adverb,,,,,,,,
1.2,ἐκλήθημεν, ,Verb,First,Plural,Aorist,indicative,Passive,,,
1.2,καὶ, ,Adverb,,,,,,,,
1.2,ὑπὸ, ,Adposition,,,,,,,,
1.2,τίνος, ,Pronoun,,Singular,,,,Masculine,Genitive,
1.2,καὶ, ,Adverb,,,,,,,,
1.2,εἰς, ,Adposition,,,,,,,,
1.2,ὃν, ,Pronoun,,Singular,,,,Masculine,Accusative,
1.2,τόπον,", ",Noun,,Singular,,,,Masculine,Accusative,
1.2,καὶ, ,Conjunction,,,,,,,,
1.2,ὅσα, ,Adjective,,Plural,,,,Neuter,Accusative,
1.2,ὑπέμεινεν, ,Verb,Third,Singular,Aorist,indicative,Active,,,
1.2,Ἰησοῦς, ,Noun,,Singular,,,,Masculine,Nominative,
1.2,Χριστὸς, ,Adjective,,Singular,,,,Masculine,Nominative,
1.2,παθεῖν, ,Verb,,,Aorist,infinitive,Active,,,
1.2,ἕνεκα, ,Adposition,,,,,,,,
1.2,ἡμῶν,. ,Pronoun,First,Plural,,,,Masculine,Genitive,
1.2,τίνα, ,Pronoun,,Singular,,,,Masculine,Accusative,
1.3,οὖν, ,Adverb,,,,,,,,
1.3,ἡμεῖς, ,Pronoun,First,Plural,,,,Masculine,Nominative,
1.3,αὐτῷ, ,Pronoun,,Singular,,,,Masculine,Dative,
1.3,δώσομεν, ,Verb,First,Plural,Future,indicative,Active,,,
1.3,ἀντιμισθίαν,", ",Noun,,Singular,,,,Feminine,Accusative,
1.3,ἢ, ,Conjunction,,,,,,,,
1.3,τίνα, ,Pronoun,,Singular,,,,Masculine,Accusative,
1.3,καρπὸν, ,Noun,,Singular,,,,Masculine,Accusative,
1.3,ἄξιον, ,Adjective,,Singular,,,,Masculine,Accusative,
1.3,οὗ, ,Pronoun,,Singular,,,,Masculine,Genitive,
1.3,ἡμῖν, ,Pronoun,First,Plural,,,,Masculine,Dative,
1.3,αὐτὸς, ,Pronoun,,Singular,,,,Masculine,Nominative,
1.3,ἔδωκεν,; ,Verb,Third,Singular,Aorist,indicative,Active,,,
1.3,πόσα, ,Adjective,,Plural,,,,Neuter,Accusative,
1.3,δὲ, ,Adverb,,,,,,,,
1.3,αὐτῷ, ,Pronoun,,Singular,,,,Masculine,Dative,
1.3,ὀφείλομεν, ,Verb,First,Plural,Present,indicative,Active,,,
1.3,ὅσια,; ,Adjective,,Plural,,,,Neuter,Accusative,
1.3,τὸ, ,Article,,Singular,,,,Neuter,Nominative,
1.3,φῶς, ,Noun,,Singular,,,,Neuter,Accusative,
1.4,γὰρ, ,Adverb,,,,,,,,
1.4,ἡμῖν, ,Pronoun,First,Plural,,,,Masculine,Dative,
1.4,ἐχαρίσατο,", ",Verb,Third,Singular,Aorist,indicative,Middle,,,
1.4,ὡς, ,Conjunction,,,,,,,,
1.4,πατὴρ, ,Noun,,Singular,,,,Masculine,Nominative,
1.4,υἱοὺς, ,Noun,,Plural,,,,Masculine,Accusative,
1.4,ἡμᾶς, ,Pronoun,First,Plural,,,,Masculine,Accusative,
1.4,προσηγόρευσεν,", ",Verb,Third,Singular,Aorist,indicative,Active,,,
1.4,ἀπολλυμένους, ,Verb,,Plural,Present,participle,Medio-passive,Masculine,Accusative,
1.4,ἡμᾶς, ,Pronoun,First,Plural,,,,Masculine,Accusative,
1.4,ἔσωσεν,. ,Verb,Third,Singular,Aorist,indicative,Active,,,
1.4,ποῖον, ,Adjective,,Singular,,,,Masculine,Accusative,
1.5,οὖν, ,Adverb,,,,,,,,
1.5,αἶνον, ,Noun,,Singular,,,,Masculine,Accusative,
1.5,αὐτῷ, ,Pronoun,,Singular,,,,Masculine,Dative,
1.5,δώσομεν, ,Verb,First,Plural,Future,indicative,Active,,,
1.5,ἢ, ,Conjunction,,,,,,,,
1.5,μισθὸν, ,Noun,,Singular,,,,Masculine,Accusative,
1.5,ἀντιμισθίας, ,Noun,,Singular,,,,Feminine,Accusative,
1.5,ὧν, ,Pronoun,,Plural,,,,Masculine,Genitive,
1.5,ἐλάβομεν,; ,Verb,First,Plural,Aorist,indicative,Active,,,
1.5,πηροὶ, ,Noun,,Plural,,,,Masculine,Nominative,
1.6,ὄντες, ,Verb,,Plural,Present,participle,Active,Masculine,Nominative,
1.6,τῇ, ,Article,,Singular,,,,Feminine,Dative,
1.6,διανοίᾳ,", ",Noun,,Singular,,,,Feminine,Dative,
1.6,προσκυνοῦντες, ,Verb,,Plural,Present,participle,Active,Masculine,Nominative,
1.6,λίθους, ,Noun,,Plural,,,,Masculine,Accusative,
1.6,καὶ, ,Adverb,,,,,,,,
1.6,ξύλα, ,Noun,,Plural,,,,Neuter,Accusative,
1.6,καὶ, ,Adverb,,,,,,,,
1.6,χρυσὸν, ,Noun,,Singular,,,,Masculine,Accusative,
1.6,καὶ, ,Adverb,,,,,,,,
1.6,ἄργυρον, ,Noun,,Singular,,,,Masculine,Accusative,
1.6,καὶ, ,Conjunction,,,,,,,,
1.6,χαλκόν,", ",Noun,,Singular,,,,Masculine,Accusative,
1.6,ἔργα, ,Noun,,Plural,,,,Neuter,Accusative,
1.6,ἀνθρώπων,· ,Noun,,Plural,,,,Masculine,Genitive,
1.6,καὶ, ,Adverb,,,,,,,,
1.6,ὁ, ,Article,,Singular,,,,Masculine,Nominative,
1.6,βίος, ,Noun,,Singular,,,,Masculine,Nominative,
1.6,ἡμῶν, ,Pronoun,First,Plural,,,,Masculine,Genitive,
1.6,ὅλος, ,Adjective,,Singular,,,,Masculine,Nominative,
1.6,ἄλλο, ,Adjective,,Singular,,,,Neuter,Accusative,
1.6,οὐδὲν, ,Pronoun,,Singular,,,,Neuter,Nominative,
1.6,ἦν, ,Verb,Third,Singular,Imperfect,indicative,Active,,,
1.6,εἰ, ,Conjunction,,,,,,,,
1.6,μὴ, ,Adverb,,,,,,,,
1.6,θάνατος,. ,Noun,,Singular,,,,Masculine,Nominative,
1.6,ἀμαύρωσιν, ,Verb,Third,Plural,,subjunctive,Active,,,
1.6,οὖν, ,Adverb,,,,,,,,
1.6,περικείμενοι, ,Verb,,Plural,Perfect,participle,Medio-passive,Masculine,Nominative,
1.6,καὶ, ,Conjunction,,,,,,,,
1.6,τοιαύτης, ,Adjective,,Singular,,,,Feminine,Genitive,
1.6,ἀχλύος, ,Noun,,Singular,,,,Feminine,Genitive,
1.6,γέμοντες, ,Verb,,Plural,Present,participle,Active,Masculine,Nominative,
1.6,ἐν, ,Adposition,,,,,,,,
1.6,τῇ, ,Article,,Singular,,,,Feminine,Dative,
1.6,ὁράσει,", ",Noun,,Singular,,,,Feminine,Dative,
1.6,ἀνεβλέψαμεν, ,Verb,First,Plural,Aorist,indicative,Active,,,
1.6,ἀποθέμενοι, ,Verb,,Plural,Aorist,participle,Middle,Masculine,Nominative,
1.6,ἐκεῖνο, ,Pronoun,,Singular,,,,Neuter,Accusative,
1.6,ὃ, ,Pronoun,,Singular,,,,Neuter,Accusative,
1.6,περικείμεθα, ,Verb,First,Plural,Plusquamperfect,indicative,Medio-passive,,,
1.6,νέφος, ,Noun,,Singular,,,,Neuter,Accusative,
1.6,τῇ, ,Article,,Singular,,,,Feminine,Dative,
1.6,αὐτοῦ, ,Pronoun,,Singular,,,,Masculine,Genitive,
1.6,θελήσει,. ,Verb,Third,Singular,Future,indicative,Active,,,
1.6,ἠλέησεν, ,Verb,Third,Singular,Aorist,indicative,Active,,,
1.7,γὰρ, ,Adverb,,,,,,,,
1.7,ἡμᾶς, ,Pronoun,First,Plural,,,,Masculine,Accusative,
1.7,καὶ, ,Conjunction,,,,,,,,
1.7,σπλαγχνισθεὶς, ,Verb,,Singular,Aorist,participle,Passive,Masculine,Nominative,
1.7,ἔσωσεν,", ",Verb,Third,Singular,Aorist,indicative,Active,,,
1.7,θεασάμενος, ,Verb,,Singular,Aorist,participle,Middle,Masculine,Nominative,
1.7,ἐν, ,Adposition,,,,,,,,
1.7,ἡμῖν, ,Pronoun,First,Plural,,,,Masculine,Dative,
1.7,πολλὴν, ,Adjective,,Singular,,,,Feminine,Accusative,
1.7,πλάνην, ,Noun,,Singular,,,,Feminine,Accusative,
1.7,καὶ, ,Conjunction,,,,,,,,
1.7,ἀπώλειαν,", ",Noun,,Singular,,,,Feminine,Accusative,
1.7,καὶ, ,Conjunction,,,,,,,,
1.7,μηδεμίαν, ,Adjective,,Singular,,,,Feminine,Accusative,
1.7,ἐλπίδα, ,Noun,,Singular,,,,Feminine,Accusative,
1.7,ἔχοντας, ,Verb,,Plural,Present,participle,Active,Masculine,Accusative,
1.7,σωτηρίας,", ",Noun,,Singular,,,,Feminine,Accusative,
1.7,εἰ, ,Conjunction,,,,,,,,
1.7,μὴ, ,Adverb,,,,,,,,
