reference,token,trailer,Part of Speech,Person,Number,Tense,Mood,Voice,Gender,Case,Degree
0.1,Πολύκαρπος, ,Adjective,,Singular,,,,Feminine,Nominative,
0.1,καὶ, ,Conjunction,,,,,,,,
0.1,οἱ, ,Article,,Plural,,,,Masculine,Nominative,
0.1,σὺν, ,Adposition,,,,,,,,
0.1,αὐτῷ, ,Pronoun,,Singular,,,,Masculine,Dative,
0.1,πρεσβύτεροι, ,Adjective,,Plural,,,,Masculine,Nominative,Comparative
0.1,τῇ, ,Article,,Singular,,,,Feminine,Dative,
0.1,ἐκκλησίᾳ, ,Noun,,Singular,,,,Feminine,Dative,
0.1,τοῦ, ,Article,,Singular,,,,Masculine,Genitive,
0.1,θεοῦ, ,Noun,,Singular,,,,Masculine,Genitive,
0.1,τῇ, ,Article,,Singular,,,,Feminine,Dative,
0.1,παροικούσῃ, ,Verb,,Singular,Present,Participle,Active,Feminine,Dative,
0.1,Φιλίππους,· ,Noun,,Plural,,,,Masculine,Accusative,
0.1,ἔλεος, ,Noun,,Singular,,,,Neuter,Nominative,
0.1,ὑμῖν, ,Pronoun,Second,Plural,,,,Masculine,Dative,
0.1,καὶ, ,Adverb,,,,,,,,
0.1,εἰρήνη, ,Noun,,Singular,,,,Feminine,Nominative,
0.1,παρὰ, ,Adposition,,,,,,,,
0.1,θεοῦ, ,Noun,,Singular,,,,Masculine,Genitive,
0.1,παντοκράτορος, ,Noun,,Singular,,,,Masculine,Genitive,
0.1,καὶ, ,Conjunction,,,,,,,,
0.1,Ἰησοῦ, ,Noun,,Singular,,,,Masculine,Genitive,
0.1,Χριστοῦ, ,Adjective,,Singular,,,,Masculine,Genitive,
0.1,τοῦ, ,Article,,Singular,,,,Masculine,Genitive,
0.1,σωτῆρος, ,Noun,,Singular,,,,Masculine,Genitive,
0.1,ἡμῶν, ,Pronoun,First,Plural,,,,Masculine,Genitive,
0.1,πληθυνθείη,. ,Verb,Third,Singular,Aorist,Optative,Passive,,,
0.1,Συνεχάρην, ,Noun,,Singular,,,,Feminine,Accusative,
1.1,ὑμῖν, ,Pronoun,Second,Plural,,,,Masculine,Dative,
1.1,μεγάλως, ,Adverb,,,,,,,,
1.1,ἐν, ,Adposition,,,,,,,,
1.1,τῷ, ,Article,,Singular,,,,Masculine,Dative,
1.1,κυρίῳ, ,Noun,,Singular,,,,Masculine,Dative,
1.1,ἡμῶν, ,Pronoun,First,Plural,,,,Masculine,Genitive,
1.1,Ἰησοῦ, ,Noun,,Singular,,,,Masculine,Genitive,
1.1,Χριστῷ,", ",Noun,,Singular,,,,Masculine,Dative,
1.1,δεξαμένοις, ,Verb,,Plural,Aorist,Participle,Middle,Masculine,Dative,
1.1,τὰ, ,Article,,Plural,,,,Neuter,Accusative,
1.1,μιμήματα, ,Noun,,Plural,,,,Neuter,Accusative,
1.1,τῆς, ,Article,,Singular,,,,Feminine,Genitive,
1.1,ἀληθοῦς, ,Adjective,,Singular,,,,Feminine,Genitive,
1.1,ἀγάπης, ,Noun,,Singular,,,,Feminine,Genitive,
1.1,καὶ, ,Conjunction,,,,,,,,
1.1,προπέμψασιν,", ",Verb,,Plural,Aorist,Participle,Active,Masculine,Dative,
1.1,ὡς, ,Conjunction,,,,,,,,
1.1,ἐπέβαλεν, ,Verb,Third,Singular,Aorist,Indicative,Active,,,
1.1,ὑμῖν,", ",Pronoun,Second,Plural,,,,Masculine,Dative,
1.1,τοὺς, ,Article,,Plural,,,,Masculine,Accusative,
1.1,ἐνειλημένους, ,Verb,,Plural,Perfect,Participle,Medio-passive,Masculine,Accusative,
1.1,τοῖς, ,Article,,Plural,,,,Masculine,Dative,
1.1,ἁγιοπρεπέσιν, ,Adjective,,Plural,,,,Masculine,Dative,
1.1,δεσμοῖς,", ",Noun,,Plural,,,,Masculine,Dative,
1.1,ἅτινά, ,Pronoun,,Plural,,,,Neuter,Nominative,
1.1,ἐστιν, ,Verb,Third,Singular,Present,Indicative,Active,,,
1.1,διαδήματα, ,Noun,,Plural,,,,Neuter,Nominative,
1.1,τῶν, ,Article,,Plural,,,,Masculine,Genitive,
1.1,ἀληθῶς, ,Adverb,,,,,,,,
1.1,ὑπὸ, ,Adposition,,,,,,,,
1.1,θεοῦ, ,Noun,,Singular,,,,Masculine,Genitive,
1.1,καὶ, ,Conjunction,,,,,,,,
1.1,τοῦ, ,Article,,Singular,,,,Masculine,Genitive,
1.1,κυρίου, ,Noun,,Singular,,,,Masculine,Genitive,
1.1,ἡμῶν, ,Pronoun,First,Plural,,,,Masculine,Genitive,
