reference,token,trailer,Part of Speech,Person,Number,Tense,Mood,Voice,Gender,Case,Degree
0.1,Ἰγνάτιος,", ",Noun,,Singular,,,,Masculine,Nominative,
0.1,ὁ, ,Article,,Singular,,,,Masculine,Nominative,
0.1,καὶ, ,Adverb,,,,,,,,
0.1,Θεοφόρος,", ",Adjective,,Singular,,,,Masculine,Nominative,
0.1,Πολυκάρπῳ, ,Adjective,,Singular,,,,Masculine,Dative,
0.1,ἐπισκόπῳ, ,Noun,,Singular,,,,Masculine,Dative,
0.1,ἐκκλησίας, ,Noun,,Singular,,,,Feminine,Genitive,
0.1,Σμυρναίων,", ",Noun,,Plural,,,,Masculine,Genitive,
0.1,μᾶλλον, ,Adverb,,,,,,,,
0.1,ἐπισκοπημένῳ, ,Verb,,Singular,Perfect,Participle,Medio-passive,Masculine,Dative,
0.1,ὑπὸ, ,Adposition,,,,,,,,
0.1,θεοῦ, ,Noun,,Singular,,,,Masculine,Genitive,
0.1,πατρὸς, ,Noun,,Singular,,,,Masculine,Genitive,
0.1,καὶ, ,Conjunction,,,,,,,,
0.1,κυρίου, ,Noun,,Singular,,,,Masculine,Genitive,
0.1,Ἰησοῦ, ,Noun,,Singular,,,,Masculine,Genitive,
0.1,Χριστοῦ,", ",Adjective,,Singular,,,,Masculine,Genitive,
0.1,πλεῖστα, ,Adjective,,Plural,,,,Neuter,Accusative,
0.1,χαίρειν,. ,Verb,,,Present,Infinitive,Active,,,
0.1,Ἀποδεχόμενός, ,Verb,,Singular,Present,Participle,Medio-passive,Masculine,Nominative,
1.1,σου, ,Pronoun,Second,Singular,,,,Masculine,Genitive,
1.1,τὴν, ,Article,,Singular,,,,Feminine,Accusative,
1.1,ἐν, ,Adposition,,,,,,,,
1.1,θεῷ, ,Noun,,Singular,,,,Masculine,Dative,
1.1,γνώμην, ,Noun,,Singular,,,,Feminine,Accusative,
1.1,ἡδρασμένην, ,Verb,,Singular,Perfect,Participle,Medio-passive,Feminine,Accusative,
1.1,ὡς, ,Conjunction,,,,,,,,
1.1,ἐπὶ, ,Adposition,,,,,,,,
1.1,πέτραν, ,Noun,,Singular,,,,Feminine,Accusative,
1.1,ἀκίνητον,", ",Adjective,,Singular,,,,Feminine,Accusative,
1.1,ὑπερδοξάζω,", ",Verb,First,Singular,Present,Indicative,Active,,,
1.1,καταξιωθεὶς, ,Verb,,Singular,Aorist,Participle,Passive,Masculine,Nominative,
1.1,τοῦ, ,Article,,Singular,,,,Neuter,Genitive,
1.1,προσώπου, ,Noun,,Singular,,,,Neuter,Genitive,
1.1,σου, ,Pronoun,Second,Singular,,,,Masculine,Genitive,
1.1,τοῦ, ,Article,,Singular,,,,Neuter,Genitive,
1.1,ἀμώμου,", ",Noun,,Singular,,,,Neuter,Genitive,
1.1,οὗ, ,Pronoun,,Singular,,,,Masculine,Genitive,
1.1,ὀναίμην, ,Verb,,Singular,,Optative,,Feminine,Accusative,
1.1,ἐν, ,Adposition,,,,,,,,
1.1,θεῷ,. ,Noun,,Singular,,,,Masculine,Dative,
1.1,παρακαλῶ, ,Verb,First,Singular,Present,Indicative,Active,,,
1.2,σε, ,Pronoun,Second,Singular,,,,Masculine,Accusative,
1.2,ἐν, ,Adposition,,,,,,,,
1.2,χάριτι, ,Noun,,Singular,,,,Feminine,Dative,
1.2,ᾗ, ,Pronoun,,Singular,,,,Feminine,Dative,
1.2,ἐνδέδυσαι,", ",Verb,Second,Singular,Perfect,Indicative,Active,,,
1.2,προσθεῖναι, ,Verb,,,Aorist,Infinitive,Active,,,
1.2,τῷ, ,Article,,Singular,,,,Masculine,Dative,
1.2,δρόμῳ, ,Noun,,Singular,,,,Masculine,Dative,
1.2,σου, ,Pronoun,Second,Singular,,,,Masculine,Genitive,
1.2,καὶ, ,Conjunction,,,,,,,,
1.2,πάντας, ,Adjective,,Plural,,,,Masculine,Accusative,
1.2,παρακαλεῖν,", ",Verb,,,Present,Infinitive,Active,,,
1.2,ἵνα, ,Conjunction,,,,,,,,
1.2,σώζωνται,. ,Verb,Third,Plural,Present,Subjunctive,Medio-passive,,,
1.2,ἐκδίκει, ,Verb,Third,Singular,Present,Indicative,Active,,,
1.2,σου, ,Pronoun,Second,Singular,,,,Masculine,Genitive,
1.2,τὸν, ,Article,,Singular,,,,Masculine,Accusative,
1.2,τόπον, ,Noun,,Singular,,,,Masculine,Accusative,
1.2,ἐν, ,Adposition,,,,,,,,
1.2,πάσῃ, ,Adjective,,Singular,,,,Feminine,Dative,
1.2,ἐπιμελείᾳ, ,Noun,,Singular,,,,Feminine,Dative,
1.2,σαρκικῇ, ,Adjective,,Singular,,,,Feminine,Dative,
1.2,τε, ,Adverb,,,,,,,,
1.2,καὶ, ,Conjunction,,,,,,,,
1.2,πνευματικῇ,· ,Adjective,,Singular,,,,Feminine,Dative,
1.2,τῆς, ,Article,,Singular,,,,Feminine,Genitive,
1.2,ἑνώσεως, ,Noun,,Singular,,,,Feminine,Genitive,
1.2,φρόντιζε,", ",Verb,Second,Singular,Present,Imperative,Active,,,
1.2,ἧς, ,Pronoun,,Singular,,,,Feminine,Genitive,
1.2,οὐδὲν, ,Pronoun,,Singular,,,,Neuter,Nominative,
1.2,ἄμεινον,. ,Adjective,,Singular,,,,Neuter,Nominative,Comparative
1.2,πάντας, ,Adjective,,Plural,,,,Masculine,Accusative,
1.2,βάσταζε,", ",Verb,Second,Singular,Present,Imperative,Active,,,
1.2,ὡς, ,Conjunction,,,,,,,,
1.2,καὶ, ,Adverb,,,,,,,,
1.2,σὲ, ,Pronoun,Second,Singular,,,,Masculine,Accusative,
1.2,ὁ, ,Article,,Singular,,,,Masculine,Nominative,
1.2,κύριος,· ,Noun,,Singular,,,,Masculine,Nominative,
1.2,πάντων, ,Adjective,,Plural,,,,Masculine,Genitive,
1.2,ἀνέχου, ,Verb,Second,Singular,Present,Indicative,Medio-passive,,,
1.2,ἐν, ,Adposition,,,,,,,,
1.2,ἀγάπῃ,", ",Noun,,Singular,,,,Feminine,Dative,
