reference,token,trailer,Part of Speech,Person,Number,Tense,Mood,Voice,Gender,Case,Degree
1.0.0,Ὅρασις, ,Noun,,Singular,,,,Feminine,Nominative,
1.0.0,αʹ, ,Noun,,Singular,,,,Feminine,Nominative,
1.0.0,Ὁ, ,Article,,Singular,,,,Masculine,Nominative,
1.1.1,θρέψας, ,Verb,,Singular,Aorist,Participle,Active,Masculine,Nominative,
1.1.1,με, ,Pronoun,First,Singular,,,,Masculine,Accusative,
1.1.1,πέπρακέν, ,Verb,Third,Singular,Perfect,Indicative,Active,,,
1.1.1,με, ,Pronoun,First,Singular,,,,Masculine,Accusative,
1.1.1,Ῥόδῃ, ,Noun,,Singular,,,,Masculine,Dative,
1.1.1,τινὶ, ,Adjective,,Singular,,,,Masculine,Dative,
1.1.1,εἰς, ,Adposition,,,,,,,,
1.1.1,Ῥώμην,. ,Noun,,Singular,,,,Feminine,Accusative,
1.1.1,μετὰ, ,Adposition,,,,,,,,
1.1.1,πολλὰ, ,Adjective,,Plural,,,,Neuter,Accusative,
1.1.1,ἔτη, ,Noun,,Plural,,,,Neuter,Accusative,
1.1.1,ταύτην, ,Pronoun,,Singular,,,,Feminine,Accusative,
1.1.1,ἀνεγνωρισάμην, ,Verb,First,Singular,Aorist,Indicative,Middle,,,
1.1.1,καὶ, ,Conjunction,,,,,,,,
1.1.1,ἠρξάμην, ,Verb,First,Singular,Aorist,Indicative,Middle,,,
1.1.1,αὐτὴν, ,Pronoun,,Singular,,,,Feminine,Accusative,
1.1.1,ἀγαπᾶν, ,Verb,,,Present,Infinitive,Active,,,
1.1.1,ὡς, ,Adverb,,,,,,,,
1.1.1,ἀδελφήν,. ,Noun,,Singular,,,,Feminine,Accusative,
1.1.1,μετὰ, ,Adposition,,,,,,,,
1.1.2,χρόνον, ,Noun,,Singular,,,,Masculine,Accusative,
1.1.2,τινὰ, ,Adjective,,Singular,,,,Masculine,Accusative,
1.1.2,λουομένην, ,Verb,,Singular,Present,Participle,Medio-passive,Feminine,Accusative,
1.1.2,εἰς, ,Adposition,,,,,,,,
1.1.2,τὸν, ,Article,,Singular,,,,Masculine,Accusative,
1.1.2,ποταμὸν, ,Noun,,Singular,,,,Masculine,Accusative,
1.1.2,τὸν, ,Article,,Singular,,,,Masculine,Accusative,
1.1.2,Τίβεριν, ,Noun,,Singular,,,,Masculine,Accusative,
1.1.2,εἶδον, ,Verb,First,Plural,Aorist,Indicative,Active,,,
1.1.2,καὶ, ,Conjunction,,,,,,,,
