reference,token,trailer,Part of Speech,Person,Number,Tense,Mood,Voice,Gender,Case,Degree
1.1,Χαίρετε,", ",Verb,Second,Plural,Present,Imperative,Active,,,
1.1,υἱοὶ, ,Noun,,Plural,,,,Masculine,Vocative,
1.1,καὶ, ,Conjunction,,,,,,,,
1.1,θυγατέρες,", ",Noun,,Plural,,,,Feminine,Vocative,
1.1,ἐν, ,Adposition,,,,,,,,
1.1,ὀνόματι, ,Noun,,Singular,,,,Neuter,Dative,
1.1,κυρίου, ,Noun,,Singular,,,,Neuter,Genitive,
1.1,τοῦ, ,Article,,Singular,,,,Masculine,Genitive,
1.1,ἀγαπήσαντος, ,Verb,,Singular,Aorist,Participle,Active,Masculine,Genitive,
1.1,ἡμᾶς,", ",Pronoun,First,Plural,,,,Masculine,Accusative,
1.1,ἐν, ,Adposition,,,,,,,,
1.1,εἰρήνῃ,. ,Noun,,Singular,,,,Feminine,Dative,
1.1,Μεγάλων, ,Adjective,,Plural,,,,Masculine,Genitive,
1.2,μὲν, ,Adverb,,,,,,,,
1.2,ὄντων, ,Verb,,Plural,Present,Participle,Active,Neuter,Genitive,
1.2,καὶ, ,Conjunction,,,,,,,,
1.2,πλουσίων, ,Adjective,,Plural,,,,Neuter,Genitive,
1.2,τῶν, ,Article,,Plural,,,,Neuter,Genitive,
1.2,τοῦ, ,Article,,Singular,,,,Neuter,Genitive,
1.2,θεοῦ, ,Noun,,Singular,,,,Masculine,Genitive,
1.2,δικαιωμάτων, ,Noun,,Plural,,,,Neuter,Genitive,
1.2,εἰς, ,Adposition,,,,,,,,
1.2,ὑμᾶς,", ",Pronoun,Second,Plural,,,,Masculine,Accusative,
1.2,ὑπέρ, ,Adposition,,,,,,,,
1.2,τι, ,Pronoun,,Singular,,,,Neuter,Accusative,
1.2,καὶ, ,Adverb,,,,,,,,
1.2,καθ’, ,Adposition,,,,,,,,
1.2,ὑπερβολὴν, ,Noun,,Singular,,,,Feminine,Accusative,
1.2,ὑπερευφραίνομαι, ,Verb,First,Singular,Present,Indicative,Medio-passive,,,
1.2,ἐπὶ, ,Adposition,,,,,,,,
1.2,τοῖς, ,Article,,Plural,,,,Neuter,Dative,
1.2,μακαρίοις, ,Noun,,Plural,,,,Neuter,Dative,
1.2,καὶ, ,Conjunction,,,,,,,,
1.2,ἐνδόξοις, ,Adjective,,Plural,,,,Neuter,Dative,
1.2,ὑμῶν, ,Pronoun,Second,Plural,,,,Neuter,Genitive,
1.2,πνεύμασιν,· ,Noun,,Plural,,,,Neuter,Dative,
1.2,οὕτως, ,Adverb,,,,,,,,
1.2,ἔμφυτον, ,Adjective,,Singular,,,,Neuter,Accusative,
1.2,τῆς, ,Article,,Singular,,,,Feminine,Genitive,
1.2,δωρεᾶς, ,Noun,,Singular,,,,Feminine,Genitive,
1.2,πνευματικῆς, ,Adjective,,Singular,,,,Feminine,Genitive,
1.2,χάριν, ,Noun,,Singular,,,,Feminine,Accusative,
1.2,εἰλήφατε,. ,Verb,Second,Plural,Perfect,Indicative,Active,,,
1.2,διὸ, ,Adverb,,,,,,,,
1.3,καὶ, ,Adverb,,,,,,,,
1.3,μᾶλλον, ,Adverb,,,,,,,,
1.3,συγχαίρω, ,Verb,First,Singular,Present,Indicative,Active,,,
1.3,ἐμαυτῷ, ,Pronoun,First,Singular,,,,Masculine,Dative,
1.3,ἐλπίζων, ,Verb,,Singular,Present,Participle,Active,Masculine,Nominative,
1.3,σωθῆναι,", ",Verb,,,Aorist,Infinitive,Passive,,,
1.3,ὅτι, ,Conjunction,,,,,,,,
1.3,ἀληθῶς, ,Adverb,,,,,,,,
1.3,βλέπω, ,Verb,First,Singular,Present,Indicative,Active,,,
1.3,ἐν, ,Adposition,,,,,,,,
1.3,ὑμῖν, ,Pronoun,Second,Plural,,,,Masculine,Dative,
1.3,ἐκκεχυμένον, ,Verb,,Singular,Perfect,Participle,Medio-passive,Neuter,Accusative,
1.3,ἀπὸ, ,Adposition,,,,,,,,
1.3,τοῦ, ,Article,,Singular,,,,Neuter,Genitive,
1.3,πλουσίου, ,Noun,,Singular,,,,Neuter,Genitive,
1.3,τῆς, ,Article,,Singular,,,,Feminine,Genitive,
1.3,πηγῆς, ,Noun,,Singular,,,,Feminine,Genitive,
1.3,κυρίου, ,Noun,,Singular,,,,Masculine,Genitive,
1.3,πνεῦμα, ,Noun,,Singular,,,,Neuter,Accusative,
1.3,ἐφ’, ,Adposition,,,,,,,,
