reference,token,trailer,Part of Speech,Person,Number,Tense,Mood,Voice,Gender,Case,Degree
0.1,Ἰγνάτιος,", ",Noun,,Singular,,,,Masculine,Nominative,
0.1,ὁ, ,Article,,Singular,,,,Masculine,Nominative,
0.1,καὶ, ,Adverb,,,,,,,,
0.1,Θεοφόρος,", ",Adjective,,Singular,,,,Masculine,Nominative,
0.1,ἐκκλησίᾳ, ,Noun,,Singular,,,,Feminine,Dative,
0.1,θεοῦ, ,Noun,,Singular,,,,Masculine,Genitive,
0.1,πατρὸς, ,Noun,,Singular,,,,Masculine,Genitive,
0.1,καὶ, ,Conjunction,,,,,,,,
0.1,τοῦ, ,Article,,Singular,,,,Masculine,Genitive,
0.1,ἠγαπημένου, ,Verb,,Singular,Perfect,Participle,Medio-passive,Masculine,Genitive,
0.1,Ἰησοῦ, ,Noun,,Singular,,,,Masculine,Genitive,
0.1,Χριστοῦ,", ",Noun,,Singular,,,,Masculine,Genitive,
0.1,ἠλεημένῃ, ,Verb,,Singular,Perfect,Participle,Medio-passive,Feminine,Dative,
0.1,ἐν, ,Adposition,,,,,,,,
0.1,παντὶ, ,Adjective,,Singular,,,,Neuter,Dative,
0.1,χαρίσματι,", ",Noun,,Singular,,,,Neuter,Dative,
0.1,πεπληρωμένῃ, ,Verb,,Singular,Perfect,Participle,Medio-passive,Feminine,Dative,
0.1,ἐν, ,Adposition,,,,,,,,
0.1,πίστει, ,Noun,,Singular,,,,Feminine,Dative,
0.1,καὶ, ,Conjunction,,,,,,,,
0.1,ἀγάπῃ,", ",Noun,,Singular,,,,Feminine,Dative,
0.1,ἀνυστερήτῳ, ,Adjective,,Singular,,,,Feminine,Dative,
0.1,οὔσῃ, ,Verb,,Singular,Present,Participle,Active,Feminine,Dative,
0.1,παντὸς, ,Adjective,,Singular,,,,Neuter,Genitive,
0.1,χαρίσματος,", ",Noun,,Singular,,,,Neuter,Genitive,
0.1,θεοπρεπεστάτῃ, ,Adjective,,Singular,,,,Feminine,Dative,Superlative
0.1,καὶ, ,Conjunction,,,,,,,,
0.1,ἁγιοφόρῳ,", ",Adjective,,Singular,,,,Feminine,Dative,
0.1,τῇ, ,Article,,Singular,,,,Feminine,Dative,
0.1,οὔσῃ, ,Verb,,Singular,Present,Participle,Active,Feminine,Dative,
0.1,ἐν, ,Adposition,,,,,,,,
0.1,Σμύρνῃ, ,Noun,,Singular,,,,Feminine,Dative,
0.1,τῆς, ,Article,,Singular,,,,Feminine,Genitive,
0.1,Ἀσίας,", ",Noun,,Singular,,,,Feminine,Genitive,
0.1,ἐν, ,Adposition,,,,,,,,
0.1,ἀμώμῳ, ,Adjective,,Singular,,,,Neuter,Dative,
0.1,πνεύματι, ,Noun,,Singular,,,,Neuter,Dative,
0.1,καὶ, ,Conjunction,,,,,,,,
0.1,λόγῳ, ,Noun,,Singular,,,,Masculine,Dative,
0.1,θεοῦ, ,Noun,,Singular,,,,Masculine,Genitive,
0.1,πλεῖστα, ,Adjective,,Plural,,,,Neuter,Accusative,
0.1,χαίρειν,. ,Verb,,,Present,Infinitive,Active,,,
0.1,Δοξάζω, ,Verb,First,Singular,Present,Indicative,Active,,,
1.1,Ἰησοῦν, ,Verb,,Singular,,Participle,Active,Masculine,Accusative,
1.1,Χριστὸν, ,Adjective,,Singular,,,,Masculine,Accusative,
1.1,τὸν, ,Article,,Singular,,,,Masculine,Accusative,
1.1,θεὸν, ,Noun,,Singular,,,,Masculine,Accusative,
1.1,τὸν, ,Article,,Singular,,,,Masculine,Accusative,
1.1,οὕτως, ,Adverb,,,,,,,,
1.1,ὑμᾶς, ,Pronoun,Second,Plural,,,,Masculine,Accusative,
1.1,σοφίσαντα,· ,Verb,,Singular,Aorist,Participle,Active,Masculine,Accusative,
1.1,ἐνόησα, ,Verb,First,Singular,Aorist,Indicative,Active,,,
1.1,γὰρ, ,Adverb,,,,,,,,
1.1,ὑμᾶς, ,Pronoun,Second,Plural,,,,Masculine,Accusative,
1.1,κατηρτισμένους, ,Verb,,Plural,Perfect,Participle,Medio-passive,Masculine,Accusative,
1.1,ἐν, ,Adposition,,,,,,,,
1.1,ἀκινήτῳ, ,Adjective,,Singular,,,,Feminine,Dative,
1.1,πίστει,", ",Noun,,Singular,,,,Feminine,Dative,
1.1,ὥσπερ, ,Conjunction,,,,,,,,
1.1,καθηλωμένους, ,Verb,,Plural,Perfect,Participle,Medio-passive,Masculine,Accusative,
1.1,ἐν, ,Adposition,,,,,,,,
1.1,τῷ, ,Article,,Singular,,,,Masculine,Dative,
1.1,σταυρῷ, ,Noun,,Singular,,,,Masculine,Dative,
1.1,τοῦ, ,Article,,Singular,,,,Masculine,Genitive,
1.1,κυρίου, ,Noun,,Singular,,,,Masculine,Genitive,
1.1,Ἰησοῦ, ,Noun,,Singular,,,,Masculine,Genitive,
1.1,Χριστοῦ, ,Adjective,,Singular,,,,Masculine,Genitive,
1.1,σαρκί, ,Noun,,Singular,,,,Feminine,Dative,
1.1,τε, ,Adverb,,,,,,,,
1.1,καὶ, ,Adverb,,,,,,,,
1.1,πνεύματι, ,Noun,,Singular,,,,Neuter,Dative,
1.1,καὶ, ,Conjunction,,,,,,,,
1.1,ἡδρασμένους, ,Verb,,Plural,Perfect,Participle,Medio-passive,Masculine,Accusative,
1.1,ἐν, ,Adposition,,,,,,,,
1.1,ἀγάπῃ, ,Noun,,Singular,,,,Feminine,Dative,
1.1,ἐν, ,Adposition,,,,,,,,
1.1,τῷ, ,Article,,Singular,,,,Neuter,Dative,
1.1,αἵματι, ,Noun,,Singular,,,,Neuter,Dative,
1.1,Χριστοῦ,", ",Adjective,,Singular,,,,Neuter,Genitive,
1.1,πεπληροφορημένους, ,Verb,,Plural,Perfect,Participle,Medio-passive,Masculine,Accusative,
1.1,εἰς, ,Adposition,,,,,,,,
1.1,τὸν, ,Article,,Singular,,,,Masculine,Accusative,
1.1,κύριον, ,Noun,,Singular,,,,Masculine,Accusative,
1.1,ἡμῶν,", ",Pronoun,First,Plural,,,,Masculine,Genitive,
