reference,token,trailer,Part of Speech,Person,Number,Tense,Mood,Voice,Gender,Case,Degree
1.1,Ἐπειδὴ, ,Conjunction,,,,,,,,
1.1,ὁρῶ,", ",Verb,First,Singular,Present,Indicative,Active,,,
1.1,κράτιστε, ,Adjective,,Singular,,,,Masculine,Vocative,
1.1,Διόγνητε,", ",Noun,Second,Singular,,,,Masculine,Vocative,
1.1,ὑπερεσπουδακότα, ,Verb,,Singular,Perfect,Participle,Active,Masculine,Accusative,
1.1,σε, ,Pronoun,Second,Singular,,,,Masculine,Accusative,
1.1,τὴν, ,Article,,Singular,,,,Feminine,Accusative,
1.1,θεοσέβειαν, ,Noun,,Singular,,,,Feminine,Accusative,
1.1,τῶν, ,Article,,Plural,,,,Masculine,Genitive,
1.1,Χριστιανῶν, ,Adjective,,Plural,,,,Masculine,Genitive,
1.1,μαθεῖν, ,Verb,,,Aorist,Infinitive,Active,,,
1.1,καὶ, ,Conjunction,,,,,,,,
1.1,πάνυ, ,Adverb,,,,,,,,
1.1,σαφῶς, ,Adverb,,,,,,,,
1.1,καὶ, ,Conjunction,,,,,,,,
1.1,ἐπιμελῶς, ,Adverb,,,,,,,,
1.1,πυνθανόμενον, ,Verb,,Singular,Present,Participle,Medio-passive,Masculine,Accusative,
1.1,περὶ, ,Adposition,,,,,,,,
1.1,αὐτῶν,", ",Pronoun,,Plural,,,,Masculine,Genitive,
1.1,τίνι, ,Pronoun,,Singular,,,,Masculine,Dative,
1.1,τε, ,Adverb,,,,,,,,
1.1,θεῷ, ,Noun,,Singular,,,,Masculine,Dative,
1.1,πεποιθότες, ,Verb,,Plural,Perfect,Participle,Active,Masculine,Nominative,
1.1,καὶ, ,Conjunction,,,,,,,,
1.1,πῶς, ,Adverb,,,,,,,,
1.1,θρησκεύοντες, ,Verb,,Plural,Present,Participle,Active,Masculine,Nominative,
1.1,αὐτὸν, ,Pronoun,,Singular,,,,Masculine,Accusative,
1.1,τόν, ,Article,,Singular,,,,Masculine,Accusative,
1.1,τε, ,Adverb,,,,,,,,
1.1,κόσμον, ,Noun,,Singular,,,,Masculine,Accusative,
1.1,ὑπερορῶσι, ,Verb,Third,Plural,Present,Indicative,Active,,,
1.1,πάντες, ,Adjective,,Plural,,,,Masculine,Nominative,
1.1,καὶ, ,Conjunction,,,,,,,,
1.1,θανάτου, ,Noun,,Singular,,,,Masculine,Genitive,
1.1,καταφρονοῦσι, ,Verb,Third,Plural,Present,Indicative,Active,,,
1.1,καὶ, ,Conjunction,,,,,,,,
1.1,οὔτε, ,Adverb,,,,,,,,
1.1,τοὺς, ,Article,,Plural,,,,Masculine,Accusative,
1.1,νομιζομένους, ,Verb,,Plural,Present,Participle,Medio-passive,Masculine,Accusative,
1.1,ὑπὸ, ,Adposition,,,,,,,,
1.1,τῶν, ,Article,,Plural,,,,Masculine,Genitive,
1.1,Ἑλλήνων, ,Noun,,Plural,,,,Masculine,Genitive,
1.1,θεοὺς, ,Noun,,Plural,,,,Masculine,Accusative,
1.1,λογίζονται, ,Verb,Third,Plural,Present,Indicative,Medio-passive,,,
1.1,οὔτε, ,Conjunction,,,,,,,,
1.1,τὴν, ,Article,,Singular,,,,Feminine,Accusative,
1.1,Ἰουδαίων, ,Noun,,Plural,,,,Masculine,Genitive,
1.1,δεισιδαιμονίαν, ,Noun,,Singular,,,,Feminine,Accusative,
1.1,φυλάσσουσι,", ",Verb,Third,Plural,Present,Indicative,Active,,,
1.1,καὶ, ,Conjunction,,,,,,,,
1.1,τίνα, ,Pronoun,,Singular,,,,Masculine,Accusative,
1.1,τὴν, ,Article,,Singular,,,,Feminine,Accusative,
1.1,φιλοστοργίαν, ,Noun,,Singular,,,,Feminine,Accusative,
1.1,ἔχουσι, ,Verb,Third,Plural,Present,Indicative,Active,,,
1.1,πρὸς, ,Adposition,,,,,,,,
1.1,ἀλλήλους,", ",Pronoun,,Plural,,,,Masculine,Accusative,
1.1,καὶ, ,Conjunction,,,,,,,,
1.1,τί, ,Pronoun,,Singular,,,,Neuter,Accusative,
1.1,δή, ,Adverb,,,,,,,,
1.1,ποτε, ,Adverb,,,,,,,,
1.1,καινὸν, ,Adjective,,Singular,,,,Neuter,Nominative,
1.1,τοῦτο, ,Pronoun,,Singular,,,,Neuter,Nominative,
1.1,γένος, ,Noun,,Singular,,,,Neuter,Nominative,
1.1,ἢ, ,Conjunction,,,,,,,,
1.1,ἐπιτήδευμα, ,Noun,,Singular,,,,Neuter,Nominative,
1.1,εἰσῆλθεν, ,Verb,Third,Singular,Aorist,Indicative,Active,,,
1.1,εἰς, ,Adposition,,,,,,,,
1.1,τὸν, ,Article,,Singular,,,,Masculine,Accusative,
1.1,βίον, ,Noun,,Singular,,,,Masculine,Accusative,
1.1,νῦν, ,Adverb,,,,,,,,
1.1,καὶ, ,Conjunction,,,,,,,,
1.1,οὐ, ,Adverb,,,,,,,,
1.1,πρότερον,· ,Adjective,,Singular,,,,Neuter,Accusative,
1.1,ἀποδέχομαί, ,Verb,First,Singular,Present,Indicative,Medio-passive,,,
1.1,γε, ,Adverb,,,,,,,,
1.1,τῆς, ,Article,,Singular,,,,Feminine,Genitive,
1.1,προθυμίας, ,Noun,,Singular,,,,Feminine,Genitive,
1.1,σε, ,Pronoun,Second,Singular,,,,Masculine,Accusative,
1.1,ταύτης, ,Pronoun,,Singular,,,,Feminine,Genitive,
1.1,καὶ, ,Conjunction,,,,,,,,
1.1,παρὰ, ,Adposition,,,,,,,,
1.1,τοῦ, ,Article,,Singular,,,,Masculine,Genitive,
1.1,θεοῦ,", ",Noun,,Singular,,,,Masculine,Genitive,
1.1,τοῦ, ,Article,,Singular,,,,Masculine,Genitive,
1.1,καὶ, ,Adverb,,,,,,,,
1.1,τὸ, ,Article,,Singular,,,,Neuter,Accusative,
1.1,λέγειν, ,Verb,,,Present,Infinitive,Active,,,
1.1,καὶ, ,Conjunction,,,,,,,,
1.1,τὸ, ,Article,,Singular,,,,Neuter,Accusative,
1.1,ἀκούειν, ,Verb,,,Present,Infinitive,Active,,,
1.1,ἡμῖν, ,Pronoun,First,Plural,,,,Masculine,Dative,
1.1,χορηγοῦντος,", ",Verb,,Singular,Present,Participle,Active,Masculine,Genitive,
1.1,αἰτοῦμαι, ,Verb,First,Singular,Present,Indicative,Medio-passive,,,
1.1,δοθῆναι, ,Verb,,,Aorist,Infinitive,Passive,,,
1.1,ἐμοὶ, ,Pronoun,First,Singular,,,,Masculine,Dative,
1.1,μὲν, ,Adverb,,,,,,,,
1.1,εἰπεῖν, ,Verb,,,Aorist,Infinitive,Active,,,
1.1,οὕτως,", ",Adverb,,,,,,,,
1.1,ὡς, ,Conjunction,,,,,,,,
1.1,μάλιστα, ,Adverb,,,,,,,,
1.1,ἂν, ,Adverb,,,,,,,,
