reference,token,trailer,Part of Speech,Person,Number,Tense,Mood,Voice,Gender,Case,Degree
0.1,Ἰγνάτιος,", ",Noun,,Singular,,,,Feminine,Nominative,
0.1,ὁ, ,Article,,Singular,,,,Masculine,Nominative,
0.1,καὶ, ,Adverb,,,,,,,,
0.1,Θεοφόρος,", ",Adjective,,Singular,,,,Masculine,Nominative,
0.1,ἠγαπημένῃ, ,Verb,,Singular,Perfect,participle,Medio-passive,Feminine,Dative,
0.1,θεῷ,", ",Noun,,Singular,,,,Masculine,Dative,
0.1,πατρὶ, ,Noun,,Singular,,,,Masculine,Dative,
0.1,Ἰησοῦ, ,Noun,,Singular,,,,Masculine,Genitive,
0.1,Χριστοῦ,", ",Adjective,,Singular,,,,Masculine,Genitive,
0.1,ἐκκλησίᾳ, ,Noun,,Singular,,,,Feminine,Dative,
0.1,ἁγίᾳ, ,Noun,,Singular,,,,Feminine,Dative,
0.1,τῇ, ,Article,,Singular,,,,Feminine,Dative,
0.1,οὔσῃ, ,Verb,,Singular,Present,participle,Active,Feminine,Dative,
0.1,ἐν, ,Adposition,,,,,,,,
0.1,Τράλλεσιν, ,Noun,,Plural,,,,Neuter,Dative,
0.1,τῆς, ,Article,,Singular,,,,Feminine,Genitive,
0.1,Ἀσίας,", ",Noun,,Singular,,,,Feminine,Genitive,
0.1,ἐκλεκτῇ, ,Adjective,,Singular,,,,Feminine,Dative,
0.1,καὶ, ,Conjunction,,,,,,,,
0.1,ἀξιοθέῳ,", ",Adjective,,Singular,,,,Feminine,Dative,
0.1,εἰρηνευούσῃ, ,Verb,,Singular,Present,participle,Active,Feminine,Dative,
0.1,ἐν, ,Adposition,,,,,,,,
0.1,σαρκὶ, ,Noun,,Singular,,,,Feminine,Dative,
0.1,καὶ, ,Conjunction,,,,,,,,
0.1,πνεύματι, ,Noun,,Singular,,,,Neuter,Dative,
0.1,τῷ, ,Article,,Singular,,,,Neuter,Dative,
0.1,πάθει, ,Noun,,Singular,,,,Neuter,Dative,
0.1,Ἰησοῦ, ,Noun,,Singular,,,,Neuter,Genitive,
0.1,Χριστοῦ,", ",Noun,,Singular,,,,Neuter,Genitive,
0.1,τῆς, ,Article,,Singular,,,,Feminine,Genitive,
0.1,ἐλπίδος, ,Noun,,Singular,,,,Feminine,Genitive,
0.1,ἡμῶν, ,Pronoun,First,Plural,,,,Masculine,Genitive,
0.1,ἐν, ,Adposition,,,,,,,,
0.1,τῇ, ,Article,,Singular,,,,Feminine,Dative,
0.1,εἰς, ,Adposition,,,,,,,,
0.1,αὐτὸν, ,Pronoun,,Singular,,,,Masculine,Accusative,
0.1,ἀναστάσει,· ,Noun,,Singular,,,,Feminine,Dative,
0.1,ἣν, ,Pronoun,,Singular,,,,Feminine,Accusative,
0.1,καὶ, ,Adverb,,,,,,,,
0.1,ἀσπάζομαι, ,Verb,First,Singular,Present,indicative,Medio-passive,,,
0.1,ἐν, ,Adposition,,,,,,,,
0.1,τῷ, ,Article,,Singular,,,,Neuter,Dative,
0.1,πληρώματι, ,Noun,,Singular,,,,Neuter,Dative,
0.1,ἐν, ,Adposition,,,,,,,,
0.1,ἀποστολικῷ, ,Adjective,,Singular,,,,Masculine,Dative,
0.1,χαρακτῆρι, ,Noun,,Singular,,,,Masculine,Dative,
0.1,καὶ, ,Conjunction,,,,,,,,
0.1,εὔχομαι, ,Verb,First,Singular,Present,indicative,Medio-passive,,,
0.1,πλεῖστα, ,Adjective,,Plural,,,,Neuter,Accusative,
0.1,χαίρειν,. ,Verb,,,Present,infinitive,Active,,,
0.1,Ἄμωμον, ,Adjective,,Singular,,,,Feminine,Accusative,
1.1,διάνοιαν, ,Noun,,Singular,,,,Feminine,Accusative,
1.1,καὶ, ,Conjunction,,,,,,,,
1.1,ἀδιάκριτον, ,Adjective,,Singular,,,,Feminine,Accusative,
1.1,ἐν, ,Adposition,,,,,,,,
1.1,ὑπομονῇ, ,Noun,,Singular,,,,Feminine,Dative,
1.1,ἔγνων, ,Verb,First,Singular,Aorist,indicative,Active,,,
1.1,ὑμᾶς, ,Pronoun,Second,Plural,,,,Masculine,Accusative,
1.1,ἔχοντας,", ",Verb,,Plural,Present,participle,Active,Masculine,Accusative,
1.1,οὐ, ,Adverb,,,,,,,,
1.1,κατὰ, ,Adposition,,,,,,,,
1.1,χρῆσιν, ,Noun,,Singular,,,,Feminine,Accusative,
1.1,ἀλλὰ, ,Conjunction,,,,,,,,
1.1,κατὰ, ,Adposition,,,,,,,,
1.1,φύσιν,", ",Noun,,Singular,,,,Feminine,Accusative,
1.1,καθὼς, ,Pronoun,,Singular,,,,Masculine,Nominative,
1.1,ἐδήλωσέν, ,Verb,Third,Singular,Aorist,indicative,Active,,,
1.1,μοι, ,Pronoun,First,Singular,,,,Masculine,Dative,
1.1,Πολύβιος,", ",Noun,,Singular,,,,Masculine,Nominative,
1.1,ὁ, ,Article,,Singular,,,,Masculine,Nominative,
1.1,ἐπίσκοπος, ,Noun,,Singular,,,,Masculine,Nominative,
1.1,ὑμῶν,", ",Pronoun,Second,Plural,,,,Masculine,Genitive,
1.1,ὃς, ,Pronoun,,Singular,,,,Masculine,Nominative,
1.1,παρεγένετο, ,Verb,Third,Singular,Aorist,indicative,Middle,,,
1.1,θελήματι, ,Noun,,Singular,,,,Neuter,Dative,
1.1,θεοῦ, ,Noun,,Singular,,,,Masculine,Genitive,
1.1,καὶ, ,Conjunction,,,,,,,,
1.1,Ἰησοῦ, ,Noun,,Singular,,,,Masculine,Genitive,
1.1,Χριστοῦ, ,Adjective,,Singular,,,,Masculine,Genitive,
1.1,ἐν, ,Adposition,,,,,,,,
1.1,Σμύρνῃ, ,Noun,,Singular,,,,Feminine,Dative,
1.1,καὶ, ,Conjunction,,,,,,,,
1.1,οὕτως, ,Adverb,,,,,,,,
1.1,μοι, ,Pronoun,First,Singular,,,,Masculine,Dative,
1.1,συνεχάρη, ,Verb,Third,Singular,Aorist,indicative,Passive,,,
1.1,δεδεμένῳ, ,Verb,,Singular,Perfect,participle,Medio-passive,Masculine,Dative,
1.1,ἐν, ,Adposition,,,,,,,,
1.1,Χριστῷ, ,Adjective,,Singular,,,,Masculine,Dative,
1.1,Ἰησοῦ,", ",Noun,,Singular,,,,Masculine,Genitive,
1.1,ὥστε, ,Conjunction,,,,,,,,
1.1,με, ,Pronoun,First,Singular,,,,Masculine,Accusative,
1.1,τὸ, ,Article,,Singular,,,,Neuter,Accusative,
1.1,πᾶν, ,Adjective,,Singular,,,,Neuter,Accusative,
1.1,πλῆθος, ,Noun,,Singular,,,,Neuter,Accusative,
1.1,ὑμῶν, ,Pronoun,Second,Plural,,,,Masculine,Genitive,
1.1,ἐν, ,Adposition,,,,,,,,
1.1,αὐτῷ, ,Pronoun,,Singular,,,,Masculine,Dative,
1.1,θεωρεῖσθαι,. ,Verb,,,Present,infinitive,Medio-passive,,,
1.1,ἀποδεξάμενος, ,Verb,,Singular,Aorist,participle,Middle,Masculine,Nominative,
1.2,οὖν, ,Adverb,,,,,,,,
1.2,τὴν, ,Article,,Singular,,,,Feminine,Accusative,
1.2,κατὰ, ,Adposition,,,,,,,,
1.2,θεὸν, ,Noun,,Singular,,,,Feminine,Accusative,
1.2,εὔνοιαν, ,Noun,,Singular,,,,Feminine,Accusative,
1.2,δι’, ,Adposition,,,,,,,,
1.2,αὐτοῦ, ,Pronoun,,Singular,,,,Masculine,Genitive,
1.2,ἐδόξασα,", ",Verb,,Singular,Aorist,participle,Active,Feminine,Nominative,
1.2,εὑρὼν, ,Verb,,Singular,Aorist,participle,Active,Masculine,Nominative,
1.2,ὑμᾶς,", ",Pronoun,Second,Plural,,,,Masculine,Accusative,
1.2,ὡς, ,Conjunction,,,,,,,,
1.2,ἔγνων,", ",Verb,First,Singular,Aorist,indicative,Active,,,
1.2,μιμητὰς, ,Noun,,Plural,,,,Masculine,Accusative,
1.2,ὄντας, ,Verb,,Plural,Present,participle,Active,Masculine,Accusative,
1.2,θεοῦ,. ,Noun,,Singular,,,,Masculine,Genitive,
1.2,Ὅταν, ,Conjunction,,,,,,,,
2.1,γὰρ, ,Adverb,,,,,,,,
2.1,τῷ, ,Article,,Singular,,,,Masculine,Dative,
2.1,ἐπισκόπῳ, ,Noun,,Singular,,,,Masculine,Dative,
2.1,ὑποτάσσησθε, ,Verb,Second,Plural,Present,subjunctive,Medio-passive,,,
2.1,ὡς, ,Conjunction,,,,,,,,
2.1,Ἰησοῦ, ,Noun,,Singular,,,,Masculine,Genitive,
2.1,Χριστῷ,", ",Adjective,,Singular,,,,Masculine,Dative,
2.1,φαίνεσθέ, ,Verb,Second,Plural,Present,imperative,Medio-passive,,,
2.1,μοι, ,Pronoun,First,Singular,,,,Masculine,Dative,
2.1,οὐ, ,Adverb,,,,,,,,
2.1,κατὰ, ,Adposition,,,,,,,,
2.1,ἄνθρωπον, ,Noun,,Singular,,,,Masculine,Accusative,
2.1,ζῶντες,", ",Verb,,Plural,Present,participle,Active,Masculine,Nominative,
2.1,ἀλλὰ, ,Conjunction,,,,,,,,
2.1,κατὰ, ,Adposition,,,,,,,,
2.1,Ἰησοῦν, ,Noun,,Singular,,infinitive,Active,Masculine,Accusative,
2.1,Χριστὸν, ,Adjective,,Singular,,,,Masculine,Accusative,
2.1,τὸν, ,Article,,Singular,,,,Masculine,Accusative,
2.1,δι’, ,Adposition,,,,,,,,
2.1,ἡμᾶς, ,Pronoun,First,Plural,,,,Masculine,Accusative,
2.1,ἀποθανόντα,", ",Verb,,Singular,Aorist,participle,Active,Masculine,Accusative,
2.1,ἵνα, ,Conjunction,,,,,,,,
2.1,πιστεύσαντες, ,Verb,,Plural,Aorist,participle,Active,Masculine,Nominative,
2.1,εἰς, ,Adposition,,,,,,,,
2.1,τὸν, ,Article,,Singular,,,,Masculine,Accusative,
2.1,θάνατον, ,Noun,,Singular,,,,Masculine,Accusative,
2.1,αὐτοῦ, ,Pronoun,,Singular,,,,Masculine,Genitive,
2.1,τὸ, ,Article,,Singular,,,,Neuter,Accusative,
2.1,ἀποθανεῖν, ,Verb,,,Aorist,infinitive,Active,,,
2.1,ἐκφύγητε,. ,Verb,Second,Plural,Aorist,subjunctive,Active,,,
2.1,ἀναγκαῖον, ,Adjective,,Singular,,,,Neuter,Nominative,
2.2,οὖν, ,Adverb,,,,,,,,
2.2,ἐστίν,", ",Verb,Third,Singular,Present,indicative,Active,,,
2.2,ὥσπερ, ,Conjunction,,,,,,,,
2.2,ποιεῖτε,", ",Verb,Second,Plural,Present,indicative,Active,,,
2.2,ἄνευ, ,Adposition,,,,,,,,
2.2,τοῦ, ,Article,,Singular,,,,Masculine,Genitive,
2.2,ἐπισκόπου, ,Noun,,Singular,,,,Masculine,Genitive,
2.2,μηδὲν, ,Pronoun,,Singular,,,,Neuter,Accusative,
2.2,πράσσειν, ,Verb,,,Present,infinitive,Active,,,
2.2,ὑμᾶς,", ",Pronoun,Second,Plural,,,,Masculine,Accusative,
2.2,ἀλλ’, ,Conjunction,,,,,,,,
2.2,ὑποτάσσεσθαι, ,Verb,,,Present,infinitive,Medio-passive,,,
2.2,καὶ, ,Adverb,,,,,,,,
2.2,τῷ, ,Article,,Singular,,,,Neuter,Dative,
2.2,πρεσβυτερίῳ, ,Noun,,Singular,,,,Masculine,Dative,
2.2,ὡς, ,Conjunction,,,,,,,,
2.2,τοῖς, ,Article,,Plural,,,,Masculine,Dative,
2.2,ἀποστόλοις, ,Noun,,Plural,,,,Masculine,Dative,
2.2,Ἰησοῦ, ,Noun,,Singular,,,,Masculine,Genitive,
2.2,Χριστοῦ, ,Adjective,,Singular,,,,Masculine,Genitive,
2.2,τῆς, ,Article,,Singular,,,,Feminine,Genitive,
2.2,ἐλπίδος, ,Noun,,Singular,,,,Feminine,Genitive,
2.2,ἡμῶν,", ",Pronoun,First,Plural,,,,Masculine,Genitive,
2.2,ἐν, ,Adposition,,,,,,,,
2.2,ᾧ, ,Pronoun,,Singular,,,,Neuter,Dative,
2.2,διάγοντες, ,Verb,,Plural,Present,participle,Active,Masculine,Nominative,
2.2,εὑρεθησόμεθα,. ,Verb,First,Plural,Future,indicative,Passive,,,
2.2,δεῖ, ,Verb,Third,Singular,Present,indicative,Active,,,
2.2,δὲ, ,Adverb,,,,,,,,
2.3,καὶ, ,Adverb,,,,,,,,
2.3,τοὺς, ,Article,,Plural,,,,Masculine,Accusative,
2.3,διακόνους, ,Noun,,Plural,,,,Masculine,Accusative,
2.3,ὄντας, ,Verb,,Plural,Present,participle,Active,Masculine,Accusative,
2.3,μυστηρίων, ,Noun,,Plural,,,,Neuter,Genitive,
2.3,Ἰησοῦ, ,Noun,,Singular,,,,Masculine,Genitive,
2.3,Χριστοῦ, ,Adjective,,Singular,,,,Masculine,Genitive,
2.3,κατὰ, ,Adposition,,,,,,,,
2.3,πάντα, ,Adjective,,Singular,,,,Masculine,Accusative,
2.3,τρόπον, ,Noun,,Singular,,,,Masculine,Accusative,
2.3,πᾶσιν, ,Adjective,,Plural,,,,Masculine,Dative,
2.3,ἀρέσκειν,. ,Verb,,,Present,infinitive,Active,,,
2.3,οὐ, ,Adverb,,,,,,,,
