reference,token,trailer,Part of Speech,Person,Number,Tense,Mood,Voice,Gender,Case,Degree
0.1,Ἰγνάτιος,", ",Noun,,Singular,,,,Masculine,Nominative,
0.1,ὁ, ,Article,,Singular,,,,Masculine,Nominative,
0.1,καὶ, ,Adverb,,,,,,,,
0.1,Θεοφόρος,", ",Adjective,,Singular,,,,Masculine,Nominative,
0.1,ἐκκλησίᾳ, ,Noun,,Singular,,,,Feminine,Dative,
0.1,θεοῦ, ,Noun,,Singular,,,,Masculine,Genitive,
0.1,πατρὸς, ,Noun,,Singular,,,,Masculine,Genitive,
0.1,καὶ, ,Conjunction,,,,,,,,
0.1,κυρίου, ,Noun,,Singular,,,,Masculine,Genitive,
0.1,Ἰησοῦ, ,Noun,,Singular,,,,Masculine,Genitive,
0.1,Χριστοῦ, ,Adjective,,Singular,,,,Masculine,Genitive,
0.1,τῇ, ,Article,,Singular,,,,Feminine,Dative,
0.1,οὔσῃ, ,Verb,,Singular,Present,Participle,Active,Feminine,Dative,
0.1,ἐν, ,Adposition,,,,,,,,
0.1,Φιλαδελφίᾳ, ,Noun,,Singular,,,,Feminine,Dative,
0.1,τῆς, ,Article,,Singular,,,,Feminine,Genitive,
0.1,Ἀσίας,", ",Noun,,Singular,,,,Feminine,Genitive,
0.1,ἠλεημένῃ, ,Verb,,Singular,Perfect,Participle,Medio-passive,Feminine,Dative,
0.1,καὶ, ,Conjunction,,,,,,,,
0.1,ἡδρασμένῃ, ,Verb,,Singular,Perfect,Participle,Medio-passive,Feminine,Dative,
0.1,ἐν, ,Adposition,,,,,,,,
0.1,ὁμονοίᾳ, ,Noun,,Singular,,,,Feminine,Dative,
0.1,θεοῦ, ,Noun,,Singular,,,,Masculine,Genitive,
0.1,καὶ, ,Conjunction,,,,,,,,
0.1,ἀγαλλιωμένῃ, ,Verb,,Singular,Perfect,Participle,Medio-passive,Feminine,Dative,
0.1,ἐν, ,Adposition,,,,,,,,
0.1,τῷ, ,Article,,Singular,,,,Neuter,Dative,
0.1,πάθει, ,Noun,,Singular,,,,Neuter,Dative,
0.1,τοῦ, ,Article,,Singular,,,,Neuter,Genitive,
0.1,κυρίου, ,Noun,,Singular,,,,Masculine,Genitive,
0.1,ἡμῶν, ,Pronoun,First,Plural,,,,Masculine,Genitive,
0.1,ἀδιακρίτως, ,Adverb,,,,,,,,
0.1,καὶ, ,Conjunction,,,,,,,,
0.1,ἐν, ,Adposition,,,,,,,,
0.1,τῇ, ,Article,,Singular,,,,Feminine,Dative,
0.1,ἀναστάσει, ,Noun,,Singular,,,,Feminine,Dative,
0.1,αὐτοῦ, ,Pronoun,,Singular,,,,Masculine,Genitive,
0.1,πεπληροφορημένῃ, ,Verb,,Singular,Perfect,Participle,Medio-passive,Feminine,Dative,
0.1,ἐν, ,Adposition,,,,,,,,
0.1,παντὶ, ,Adjective,,Singular,,,,Neuter,Dative,
0.1,ἐλέει,", ",Verb,Third,Singular,Future,Indicative,Active,,,
0.1,ἣν, ,Pronoun,,Singular,,,,Feminine,Accusative,
0.1,ἀσπάζομαι, ,Verb,First,Singular,Present,Indicative,Medio-passive,,,
0.1,ἐν, ,Adposition,,,,,,,,
0.1,αἵματι, ,Noun,,Singular,,,,Neuter,Dative,
0.1,Ἰησοῦ, ,Noun,,Singular,,,,Neuter,Genitive,
0.1,Χριστοῦ,", ",Adjective,,Singular,,,,Neuter,Genitive,
0.1,ἥτις, ,Pronoun,,Singular,,,,Feminine,Nominative,
0.1,ἐστὶν, ,Verb,Third,Singular,Present,Indicative,Active,,,
0.1,χαρὰ, ,Adjective,,Singular,,,,Feminine,Nominative,
0.1,αἰώνιος, ,Noun,,Singular,,,,Feminine,Nominative,
0.1,καὶ, ,Conjunction,,,,,,,,
0.1,παράμονος,", ",Noun,,Singular,,,,Masculine,Nominative,
0.1,μάλιστα, ,Adverb,,,,,,,,
0.1,ἐὰν, ,Conjunction,,,,,,,,
0.1,ἐν, ,Adposition,,,,,,,,
0.1,ἑνὶ, ,Noun,,Singular,,,,Neuter,Dative,
0.1,ὦσιν, ,Verb,Third,Plural,Present,Subjunctive,Active,,,
0.1,σὺν, ,Adposition,,,,,,,,
0.1,τῷ, ,Article,,Singular,,,,Neuter,Dative,
0.1,ἐπισκόπῳ, ,Noun,,Singular,,,,Neuter,Dative,
0.1,καὶ, ,Conjunction,,,,,,,,
0.1,τοῖς, ,Article,,Plural,,,,Neuter,Dative,
0.1,σὺν, ,Adposition,,,,,,,,
0.1,αὐτῷ, ,Pronoun,,Singular,,,,Neuter,Dative,
0.1,πρεσβυτέροις, ,Adjective,,Plural,,,,Neuter,Dative,
0.1,καὶ, ,Conjunction,,,,,,,,
0.1,διακόνοις, ,Noun,,Plural,,,,Neuter,Dative,
0.1,ἀποδεδειγμένοις, ,Verb,,Plural,Perfect,Participle,Medio-passive,Neuter,Dative,
0.1,ἐν, ,Adposition,,,,,,,,
0.1,γνώμῃ, ,Noun,,Singular,,,,Feminine,Dative,
0.1,Ἰησοῦ, ,Noun,,Singular,,,,Masculine,Genitive,
0.1,Χριστοῦ,", ",Noun,,Singular,,,,Masculine,Genitive,
0.1,οὓς, ,Pronoun,,Plural,,,,Masculine,Accusative,
0.1,κατὰ, ,Adposition,,,,,,,,
0.1,τὸ, ,Article,,Singular,,,,Neuter,Accusative,
0.1,ἴδιον, ,Adjective,,Singular,,,,Neuter,Accusative,
0.1,θέλημα, ,Noun,,Singular,,,,Neuter,Accusative,
0.1,ἐστήριξεν, ,Verb,Third,Singular,Aorist,Indicative,Active,,,
0.1,ἐν, ,Adposition,,,,,,,,
0.1,βεβαιωσύνῃ, ,Noun,,Singular,,,,Feminine,Dative,
0.1,τῷ, ,Article,,Singular,,,,Neuter,Dative,
0.1,ἁγίῳ, ,Adjective,,Singular,,,,Neuter,Dative,
0.1,αὐτοῦ, ,Pronoun,,Singular,,,,Neuter,Genitive,
0.1,πνεύματι,. ,Noun,,Singular,,,,Neuter,Dative,
0.1,Ὃν, ,Pronoun,,Singular,,,,Masculine,Accusative,
